drug1,drug2,severity,effect
Warfarin,Aspirin,Major,Severe risk of increased bleeding. Warfarin and Aspirin both increase bleeding tendency.
Warfarin,Ibuprofen,Major,Severe risk of increased bleeding. Warfarin and Ibuprofen both increase bleeding tendency.
Warfarin,Naproxen,Major,Severe risk of increased bleeding. Warfarin and Naproxen both increase bleeding tendency.
Warfarin,Diclofenac,Major,Severe risk of increased bleeding. Warfarin and Diclofenac both increase bleeding tendency.
Warfarin,Celecoxib,Major,Severe risk of increased bleeding. Warfarin and Celecoxib both increase bleeding tendency.
Warfarin,Meloxicam,Major,Severe risk of increased bleeding. Warfarin and Meloxicam both increase bleeding tendency.
Warfarin,Ketorolac,Major,Severe risk of increased bleeding. Warfarin and Ketorolac both increase bleeding tendency.
Warfarin,Indomethacin,Major,Severe risk of increased bleeding. Warfarin and Indomethacin both increase bleeding tendency.
Warfarin,Piroxicam,Major,Severe risk of increased bleeding. Warfarin and Piroxicam both increase bleeding tendency.
Heparin,Aspirin,Major,Severe risk of increased bleeding. Heparin and Aspirin both increase bleeding tendency.
Heparin,Ibuprofen,Major,Severe risk of increased bleeding. Heparin and Ibuprofen both increase bleeding tendency.
Heparin,Naproxen,Major,Severe risk of increased bleeding. Heparin and Naproxen both increase bleeding tendency.
Heparin,Diclofenac,Major,Severe risk of increased bleeding. Heparin and Diclofenac both increase bleeding tendency.
Heparin,Celecoxib,Major,Severe risk of increased bleeding. Heparin and Celecoxib both increase bleeding tendency.
Heparin,Meloxicam,Major,Severe risk of increased bleeding. Heparin and Meloxicam both increase bleeding tendency.
Heparin,Ketorolac,Major,Severe risk of increased bleeding. Heparin and Ketorolac both increase bleeding tendency.
Heparin,Indomethacin,Major,Severe risk of increased bleeding. Heparin and Indomethacin both increase bleeding tendency.
Heparin,Piroxicam,Major,Severe risk of increased bleeding. Heparin and Piroxicam both increase bleeding tendency.
Enoxaparin,Aspirin,Major,Severe risk of increased bleeding. Enoxaparin and Aspirin both increase bleeding tendency.
Enoxaparin,Ibuprofen,Major,Severe risk of increased bleeding. Enoxaparin and Ibuprofen both increase bleeding tendency.
Enoxaparin,Naproxen,Major,Severe risk of increased bleeding. Enoxaparin and Naproxen both increase bleeding tendency.
Enoxaparin,Diclofenac,Major,Severe risk of increased bleeding. Enoxaparin and Diclofenac both increase bleeding tendency.
Enoxaparin,Celecoxib,Major,Severe risk of increased bleeding. Enoxaparin and Celecoxib both increase bleeding tendency.
Enoxaparin,Meloxicam,Major,Severe risk of increased bleeding. Enoxaparin and Meloxicam both increase bleeding tendency.
Enoxaparin,Ketorolac,Major,Severe risk of increased bleeding. Enoxaparin and Ketorolac both increase bleeding tendency.
Enoxaparin,Indomethacin,Major,Severe risk of increased bleeding. Enoxaparin and Indomethacin both increase bleeding tendency.
Enoxaparin,Piroxicam,Major,Severe risk of increased bleeding. Enoxaparin and Piroxicam both increase bleeding tendency.
Clopidogrel,Aspirin,Major,Severe risk of increased bleeding. Clopidogrel and Aspirin both increase bleeding tendency.
Clopidogrel,Ibuprofen,Major,Severe risk of increased bleeding. Clopidogrel and Ibuprofen both increase bleeding tendency.
Clopidogrel,Naproxen,Major,Severe risk of increased bleeding. Clopidogrel and Naproxen both increase bleeding tendency.
Clopidogrel,Diclofenac,Major,Severe risk of increased bleeding. Clopidogrel and Diclofenac both increase bleeding tendency.
Clopidogrel,Celecoxib,Major,Severe risk of increased bleeding. Clopidogrel and Celecoxib both increase bleeding tendency.
Clopidogrel,Meloxicam,Major,Severe risk of increased bleeding. Clopidogrel and Meloxicam both increase bleeding tendency.
Clopidogrel,Ketorolac,Major,Severe risk of increased bleeding. Clopidogrel and Ketorolac both increase bleeding tendency.
Clopidogrel,Indomethacin,Major,Severe risk of increased bleeding. Clopidogrel and Indomethacin both increase bleeding tendency.
Clopidogrel,Piroxicam,Major,Severe risk of increased bleeding. Clopidogrel and Piroxicam both increase bleeding tendency.
Prasugrel,Aspirin,Major,Severe risk of increased bleeding. Prasugrel and Aspirin both increase bleeding tendency.
Prasugrel,Ibuprofen,Major,Severe risk of increased bleeding. Prasugrel and Ibuprofen both increase bleeding tendency.
Prasugrel,Naproxen,Major,Severe risk of increased bleeding. Prasugrel and Naproxen both increase bleeding tendency.
Prasugrel,Diclofenac,Major,Severe risk of increased bleeding. Prasugrel and Diclofenac both increase bleeding tendency.
Prasugrel,Celecoxib,Major,Severe risk of increased bleeding. Prasugrel and Celecoxib both increase bleeding tendency.
Prasugrel,Meloxicam,Major,Severe risk of increased bleeding. Prasugrel and Meloxicam both increase bleeding tendency.
Prasugrel,Ketorolac,Major,Severe risk of increased bleeding. Prasugrel and Ketorolac both increase bleeding tendency.
Prasugrel,Indomethacin,Major,Severe risk of increased bleeding. Prasugrel and Indomethacin both increase bleeding tendency.
Prasugrel,Piroxicam,Major,Severe risk of increased bleeding. Prasugrel and Piroxicam both increase bleeding tendency.
Ticagrelor,Aspirin,Major,Severe risk of increased bleeding. Ticagrelor and Aspirin both increase bleeding tendency.
Ticagrelor,Ibuprofen,Major,Severe risk of increased bleeding. Ticagrelor and Ibuprofen both increase bleeding tendency.
Ticagrelor,Naproxen,Major,Severe risk of increased bleeding. Ticagrelor and Naproxen both increase bleeding tendency.
Ticagrelor,Diclofenac,Major,Severe risk of increased bleeding. Ticagrelor and Diclofenac both increase bleeding tendency.
Ticagrelor,Celecoxib,Major,Severe risk of increased bleeding. Ticagrelor and Celecoxib both increase bleeding tendency.
Ticagrelor,Meloxicam,Major,Severe risk of increased bleeding. Ticagrelor and Meloxicam both increase bleeding tendency.
Ticagrelor,Ketorolac,Major,Severe risk of increased bleeding. Ticagrelor and Ketorolac both increase bleeding tendency.
Ticagrelor,Indomethacin,Major,Severe risk of increased bleeding. Ticagrelor and Indomethacin both increase bleeding tendency.
